vec_key,display_name_ja,color_code
cassia,カシア,#d2691e
cassie,カッシー,#deb887
cassis,カシス,#4b0082
castoreum,カストリウム,#cd853f
cat,猫,#708090
cat-urine,猫の尿,#f5f5dc
catty,猫のような,#b0c4de
cauliflower,カリフラワー,#f0f8ff
cayloxol,カイロクソール,#add8e6
cedar,杉,#556b2f
cedarleaf,杉葉,#6b8e23
cedarwood,杉木,#8b4513
celery,セロリ,#228b22
celery seed,セロリシード,#556b2f
cereal,シリアル,#f5deb3
chamomile,カモミール,#fffacd
cheese,チーズ,#ffd700
cheesy,チーズのような,#ffd700
chemical,化学的な,#d3d3d3
cherry,チェリー,#ff6347
cherry-pit,チェリーの種,#cd5c5c
chicken,鶏肉,#deb887
chicken coop,鶏舎,#8b4513
chip,チップ,#f4a460
chlorine,塩素,#87ceeb
chloroform,クロロホルム,#4682b4
chocolate,チョコレート,#8b4513
chrysanthemum,菊,#ffd700
cigar box,葉巻箱,#8b0000
cinnamate,シンナメート,#d2691e
cinnamic,シンナミック,#d2691e
cinnamon,シナモン,#cd853f
cinnamyl,シンナミル,#deb887
cistus,シストゥス,#ffa07a
citral,シトラール,#ffe135
citralva,シトラルバ,#ffd700
citric,クエン酸,#ffffe0
citronella,シトロネラ,#add8e6
citronellol,シトロネロール,#f5deb3
citronellyl acetate,シトロネリルアセテート,#eedd82
citrus,柑橘,#ffa500
citrus peel,柑橘の皮,#ff8c00
civet,麝香猫,#808080
clam,アサリ,#f5deb3
clary,クラリー,#228b22
clean,清潔な,#f0f8ff
clean cloth,清潔な布,#d3d3d3
clean clothes,清潔な服,#f8f8ff
clean cloths,清潔な布地,#f5f5f5
clove,クローブ,#8b4513
clover,クローバー,#98fb98
cocoa,ココア,#8b4513
coconut,ココナッツ,#fffacd
coffee,コーヒー,#6b4226
cognac,コニャック,#d2691e
cologne,コロン,#87cefa
concord grape,コンコードグレープ,#8a2be2
cooked,調理された,#deb887
cooked beef juice,調理済み牛肉のジュース,#cd5c5c
cooked meat,調理済みの肉,#8b4513
cooked potato,調理済みポテト,#deb887
cooked vegetable,調理済み野菜,#98fb98
cookedmeat,調理された肉,#8b4513
cookedpotato,調理されたポテト,#deb887
cookedvegetable,調理された野菜,#98fb98
cookies,クッキー,#f5deb3
cool,涼しい,#87cefa
cooling,冷却,#add8e6
coriander,コリアンダー,#98fb98
corn,トウモロコシ,#f4a460
cortex,皮質,#deb887
costus,コストス,#a0522d
cotton,綿,#ffffff
cotton candy,綿菓子,#ffb6c1
cottoncandy,綿菓子,#ffb6c1
coumarin,クマリン,#dda0dd
coumarinic,クマリン性,#dda0dd
crab,カニ,#fa8072
cranberry,クランベリー,#dc143c
cream,クリーム,#fffacd
creamy,クリーミー,#ffe4c4
creosote,クレオソート,#8b4513
cresol,クレゾール,#b22222
crispy,カリカリ,#deb887
crushed bug,潰した虫,#a9a9a9
crushedbug,クラッシュバグ,#a9a9a9
cucumber,キュウリ,#228b22
cucumber seed,キュウリの種,#556b2f
cucumber skin,キュウリの皮,#6b8e23
cultured dairy,発酵乳製品,#f5deb3
cumin,クミン,#d2b48c
cuminic acetate,クミン酸アセテート,#eedd82
cuminseed,クミンシード,#deb887
curry,カレー,#d2691e
custard,カスタード,#fff8dc
cut grass,切った草,#7cfc00
cut privet,切ったイボタノキ,#556b2f
cyclamen,シクラメン,#ff69b4
cypress,サイプレス,#6b8e23
dairy,乳製品,#f5deb3
damascone,ダマスコン,#ffb6c1
damp,湿った,#87ceeb
dank,湿気が多い,#4682b4
dark,暗い,#2f4f4f
date,デーツ,#8b4513
decomposing cabbage,腐敗したキャベツ,#6b8e23
deep,深い,#191970
delicate,繊細な,#ffe4e1
dewy,露がついた,#add8e6
diffusive,拡散する,#d3d3d3
dihydrolinalool,ジヒドロリナロール,#ffe4c4
dill,ディル,#556b2f
diphenyl oxide,ジフェニルオキシド,#d3d3d3
dirt,汚れ,#8b4513
dirty,汚い,#696969
diterpene,ジテルペン,#deb887
dried berry,乾燥ベリー,#8b0000
dried fruit,ドライフルーツ,#d2691e
dried raspberry,乾燥ラズベリー,#dc143c
dry,乾燥した,#e0e0e0
durian,ドリアン,#ffebcd
dust,埃,#d3d3d3
dusty,埃っぽい,#b0c4de
earth,土,#8b4513
earthy,土のような,#a0522d
egg,卵,#fffacd
elderflower,エルダーフラワー,#ffe4e1
elemi,エレミ,#deb887
ester,エステル,#ffd700
estery,エステルのような,#ffd700
ether,エーテル,#d3d3d3
ethereal,空気のような,#f0f8ff
ethyl benzoate,エチルベンゾエート,#eedd82
ethyl safranate,エチルサフラネート,#ffa500
eucalyptus,ユーカリ,#228b22
eugenol,オイゲノール,#8b0000
everlasting,永遠の,#dda0dd
extremely sweet,非常に甘い,#ffb6c1
faint,微かな,#e0e0e0
farnesol,ファルネソール,#ffe4c4
fat,脂肪,#deb887
fatty,脂っこい,#d2b48c
fecal,糞便の,#8b4513
feet,足,#d3d3d3
fenchyl,フェンチル,#ffd700
fennel,フェンネル,#556b2f
fenugreek,フェヌグリーク,#deb887
fermented,発酵した,#f5deb3
fern,シダ,#228b22
feta cheese,フェタチーズ,#fffacd
fig,イチジク,#8b0000
filbert,ヘーゼルナッツ,#deb887
fine,良い,#ffe4e1
fir,モミの木,#556b2f
fir needle,モミの葉,#6b8e23
fish,魚,#87ceeb
fishy,魚のような,#4682b4
flat,平坦な,#d3d3d3
fleafy,葉のような,#228b22
fleshy,肉厚の,#ff6347
floral,花のような,#ffb6c1
flower,花,#ff69b4
flower shop,花屋,#ffe4e1
foliage,葉,#6b8e23
forest,森,#228b22
formyl,ホルミル,#d3d3d3
foxy,キツネのような,#ffa07a
fragrant,香ばしい,#d2b48c
freesia,フリージア,#ff69b4
fresh,新鮮な,#7cfc00
fresh air,新鮮な空気,#add8e6
fresh outdoors,新鮮な屋外,#87ceeb
freshly bruised dock leaves,潰されたドックの葉,#6b8e23
freshly bruised mallow leaves,潰されたゼニアオイの葉,#98fb98
freshly bruised sage leaves,潰されたセージの葉,#556b2f
freshly plowed soil,耕されたばかりの土,#8b4513
fried,揚げた,#deb887
fruit,果物,#ffa500
fruity,フルーティー,#ff8c00
fungal,菌類の,#8b4513
furfural,フルフラール,#d2691e
fusel,フーゼル,#deb887
galbanum,ガルバナム,#556b2f
gardenia,ガーデニア,#ffb6c1
garlic,ニンニク,#f5deb3
gasoline,ガソリン,#696969
gassy,ガスのような,#d3d3d3
genet,ジェネット,#deb887
genista,ゲニスタ,#ffcc00
genuine,本物の,#f0f8ff
geranium,ゼラニウム,#ff69b4
gin,ジン,#87ceeb
ginger,ショウガ,#ffa07a
ginger root oil,ショウガ根油,#deb887
glue,接着剤,#d3d3d3
gooseberry,グーズベリー,#98fb98
grain,穀物,#d2b48c
grape,ブドウ,#8a2be2
grape skin,ブドウの皮,#4b0082
grapefruit,グレープフルーツ,#ffd700
grapefruit peel,グレープフルーツの皮,#ffebcd
grapefruit skin,グレープフルーツの外皮,#ffe4c4
grass,草,#228b22
grassy,草のような,#6b8e23
gravy,グレービーソース,#8b4513
greasy,脂っこい,#deb887
green,緑,#008000
green bean,いんげん豆,#556b2f
green leaf,緑の葉,#228b22
green onions,ネギ,#98fb98
green pepper,ピーマン,#6b8e23
green tea,緑茶,#2e8b57
greenbean,グリーンビーンズ,#556b2f
greenleaf,グリーンリーフ,#228b22
greenpepper,グリーンペッパー,#6b8e23
grilled,グリルされた,#cd853f
grocery store,食料品店,#deb887
ground,地面,#8b4513
guaiacol,グアイアコール,#d2691e
guaiacwood,グアイアックウッド,#8b4513
hairy,毛深い,#f5f5f5
ham,ハム,#ff6347
hard yolk,固ゆで卵の黄身,#fffacd
harsh,厳しい,#696969
hawthorn,サンザシ,#dc143c
hawthorne,ホーソン,#dc143c
hay,干し草,#deb887
hazelnut,ヘーゼルナッツ,#d2b48c
heather,ヘザー,#ffb6c1
heavy,重い,#696969
heliotrope,ヘリオトロープ,#dda0dd
heliotropin,ヘリオトロピン,#dda0dd
herb,ハーブ,#556b2f
herbaceous,草のような,#6b8e23
herbal,ハーブのような,#98fb98
honey,蜂蜜,#ffd700
honeydew,ハニーデュー,#ffebcd
honeysuckle,スイカズラ,#ffe4c4
hop_oil,ホップオイル,#556b2f
horseradish,ホースラディッシュ,#f5deb3
hot,ホット,#ff4500
hot milk,ホットミルク,#fffacd
hotmilk,ホットミルク,#fffacd
humid,湿気の多い,#87ceeb
hummus,フムス,#d2b48c
humus,腐植土,#8b4513
hyacinth,ヒヤシンス,#ff69b4
hydroxycitronellal,ヒドロキシシトロネラール,#f5deb3
iactonic,イアクトニック,#d3d3d3
immortelle,イモーテル,#ffd700
incense,お香,#a0522d
indole,インドール,#696969
intense,強い,#ff4500
intensely,強烈に,#b22222
iodine,ヨウ素,#6a5acd
ionone,イオノン,#dda0dd
iris,アイリス,#dda0dd
irone,アイロン,#deb887
isoeugenol,イソオイゲノール,#8b0000
isojasmone,イソジャスモン,#ffa07a
jam,ジャム,#ff4500
jam preserves,ジャム保存,#f08080
jammy,ジャミー,#f08080
jasmin,ジャスミン,#ffb6c1
jasmine,ジャスミン,#ffb6c1
jasmone,ジャスモン,#ffa07a
juicy,ジューシー,#ff6347
juniper,ジュニパー,#556b2f
juniper berry,ジュニパーベリー,#8b4513
ketone,ケトン,#d3d3d3
ketonic,ケトン性,#d3d3d3
kiwi,キウイ,#7fff00
labdanum,ラブダナム,#a0522d
lactone,ラクトン,#ffe4b5
lactonic,ラクトン性,#ffe4b5
lamb,ラム肉,#ff6347
lard,ラード,#deb887
laundered cloths,洗濯された布,#f5f5f5
laundry,洗濯物,#f8f8ff
lavandin,ラバンジン,#dda0dd
lavender,ラベンダー,#dda0dd
leaf,葉,#228b22
leafy,葉のような,#6b8e23
leather,革,#8b4513
leathery,革のような,#a0522d
leaves,葉,#556b2f
leek,ニラ,#98fb98
lemon,レモン,#fffacd
lemon peel,レモンの皮,#ffe135
lemon rind,レモンの外皮,#ffd700
lemongrass,レモングラス,#7cfc00
lettuce,レタス,#32cd32
liatrix,リアトリス,#ff69b4
licorice,甘草,#8b4513
light,軽い,#f0e68c
lilac,ライラック,#dda0dd
lily,ユリ,#ffb6c1
lily of the valley,スズラン,#f8f8ff
lime,ライム,#32cd32
lime blossom,ライムの花,#7fff00
linalool,リナロール,#ffe4c4
linalyl acetate,リナリルアセテート,#f5deb3
linden,ボダイジュ,#7cfc00
linen,リネン,#f0e68c
linseed,亜麻仁,#deb887
liquor,リキュール,#d2691e
logenberry,ローガンベリー,#8b0000
longifolone,ロンギフォロン,#deb887
lovage,ラビッジ,#556b2f
low,低い,#708090
lychee,ライチ,#ff6347
mace,メース,#d2691e
macrocyclic,マクロシクリック,#d3d3d3
magnolia,マグノリア,#ffb6c1
mahogany,マホガニー,#8b4513
mallow,ゼニアオイ,#dda0dd
malt,モルト,#deb887
maltol,マルトール,#ffe4b5
malty,モルティー,#f5deb3
mandarin,マンダリン,#ffa500
mandarin skin,マンダリンの皮,#ffcc00
mango,マンゴー,#ff8c00
maple,カエデ,#deb887
maple syrup,メープルシロップ,#d2691e
marigold,マリーゴールド,#ffd700
marine,海のような,#87ceeb
marshmallow,マシュマロ,#fffaf0
matches,マッチ,#808080
may blossom,メイブロッサム,#ffb6c1
meadow,草原,#7cfc00
meat,肉,#cd5c5c
meat broth,肉のスープ,#8b4513
meatbroth,肉汁,#8b4513
meaty,肉のような,#a52a2a
medical,医療の,#d3d3d3
medicinal,薬のような,#d3d3d3
medicine,薬,#808080
mellow,芳醇,#ffe4b5
melon,メロン,#ffd700
melon rind,メロンの皮,#ffebcd
menthol,メントール,#e0ffff
mentholic,メントール性,#add8e6
mercaptan,メルカプタン,#808000
mesquite,メスキート,#8b4513
metal,金属,#c0c0c0
metallic,金属的,#b0c4de
methyl acetophenone,メチルアセトフェノン,#ffa07a
methyl dihydrojasmonate,メチルジヒドロジャスモン,#deb887
methyl ionone,メチルイオノン,#dda0dd
mignonette,ミグノネット,#98fb98
mild,穏やか,#f5deb3
mild cooling,穏やかな冷却感,#add8e6
mildew,カビ,#808080
milk,牛乳,#fffacd
milky,ミルキー,#fff8dc
mimosa,ミモザ,#ffb6c1
mint,ミント,#98fb98
minty,ミントのような,#00fa9a
moist,湿った,#87ceeb
molasses,モラセス,#a0522d
mold,カビ,#696969
moldy,カビ臭い,#808080
moscato,モスカート,#f4a460
moss,苔,#556b2f
mossy,苔のような,#6b8e23
moth ball,防虫剤,#808080
mothball,防虫ボール,#808080
mouldy,カビ臭い,#808080
mousy,ネズミのような,#a9a9a9
muguet,スズラン,#f8f8ff
mushroom,キノコ,#deb887
musk,ムスク,#8b0000
musky,ムスクのような,#a0522d
must,マスト,#cd5c5c
mustard,マスタード,#ffdb58
musty,カビ臭い,#696969
mutton,羊肉,#cd853f
myrcene,ミルセン,#deb887
myrrh,ミルラ,#8b4513
naphtha,ナフサ,#808080
naphthalic,ナフタリック,#d3d3d3
naphthelene,ナフタレン,#808080
naphthyl,ナフチル,#696969
narcissus,スイセン,#ffd700
nasturtium,ナスタチウム,#ff6347
natural,自然な,#7cfc00
neroli,ネロリ,#ffd700
new car,新車の香り,#b0c4de
new mown hay,刈りたての干し草,#deb887
niobe,ニオベ,#dda0dd
nitrile,ニトリル,#d3d3d3
nopyl acetate,ノピルアセテート,#ffe4b5
nut,ナッツ,#d2b48c
nut skin,ナッツの皮,#deb887
nutmeg,ナツメグ,#d2691e
nutty,ナッツのような,#cd853f
oak,オーク,#8b4513
oakmoss,オークモス,#556b2f
ocimene,オシメン,#98fb98
odorless,無臭,#f5f5f5
oil,オイル,#deb887
oily,油っぽい,#f4a460
old paper,古い紙,#f5deb3
old wood,古い木,#8b4513
olibanum,オリバナム,#d2b48c
onion,玉ねぎ,#ffd700
opoponax,オポポナックス,#deb887
orange,オレンジ,#ffa500
orange blossom,オレンジの花,#ffcc00
orange flower,オレンジフラワー,#ffe4b5
orange juice,オレンジジュース,#ff8c00
orange peel,オレンジの皮,#ffcc33
orangepeel,オレンジピール,#ffcc33
orchid,オーキッド,#dda0dd
oriental,オリエンタル,#cd5c5c
orris,オリス,#ffb6c1
others,その他,#d3d3d3
outdoor,屋外,#87ceeb
overripe fruit,熟しすぎた果物,#ffa07a
oxyacetaldehyde,オキシアセタルデヒド,#d3d3d3
ozone,オゾン,#add8e6
paint,塗料,#696969
painty,塗料のような,#808080
palmarosa,パルマローザ,#ffd700
papaya,パパイヤ,#ff6347
paper,紙,#fff8dc
parmesan,パルメザン,#ffe4c4
parsley,パセリ,#228b22
passion fruit,パッションフルーツ,#ff4500
pastry,ペストリー,#f5deb3
patchouli,パチョリ,#556b2f
pea,エンドウ豆,#7cfc00
peach,桃,#ffdab9
peach-pit,桃の種,#d2691e
peanut,ピーナッツ,#f4a460
peanut butter,ピーナッツバター,#deb887
peanutbutter,ピーナッツバター,#deb887
pear,洋梨,#ffff99
pear skin,洋梨の皮,#ffd700
peely,皮のような,#deb887
pencil,鉛筆,#808080
penetrating,貫通するような,#ff4500
peony,ボタン,#ffb6c1
pepper,コショウ,#6b4226
peppermint,ペパーミント,#98fb98
peppery,コショウのような,#cd853f
peptone,ペプトン,#d3d3d3
pesticide,農薬,#696969
petal,花びら,#ffb6c1
petitgrain,プチグレイン,#556b2f
petroleum,石油,#808080
phenol,フェノール,#ffa07a
phenolic,フェノール性,#f5deb3
pine,松,#6b8e23
pine needle,松葉,#228b22
pineapple,パイナップル,#ffcc00
pistachio,ピスタチオ,#98fb98
plant,植物,#228b22
plastic,プラスチック,#d3d3d3
pleasant,心地よい,#ffe4c4
plum,プラム,#8b0000
plum skin,プラムの皮,#4b0082
pollen,花粉,#ffd700
popcorn,ポップコーン,#ffe4b5
pork,豚肉,#ff6347
potato,ジャガイモ,#d2b48c
powderful,パウダフル,#f5f5dc
powdery,粉っぽい,#e0e0e0
powerful,強い,#ff4500
privet,イボタノキ,#556b2f
privet blossom,イボタノキの花,#f8f8ff
profarnesal,プロファルネサール,#deb887
propionic,プロピオン酸,#ffe4c4
prune,プルーン,#8b4513
pulpy,果肉のような,#f4a460
pumpkin,カボチャ,#ffa500
pungent,刺激臭のある,#ff6347
putrid,腐敗臭のある,#808080
pyrazine,ピラジン,#d3d3d3
pyridine,ピリジン,#808080
quince,マルメロ,#ffff99
radiant,光輝く,#ffd700
radish,大根,#ffffff
raisin,干しブドウ,#8b0000
rancid,酸化臭のある,#a0522d
raspberry,ラズベリー,#dc143c
raw,生,#ff4500
red cedar,レッドシダー,#8b4513
red fruit,赤い果物,#ff0000
red hots,レッドホット,#b22222
red rose,赤いバラ,#ff0000
repulsive,嫌悪感を与える,#696969
reseda,リセダ,#98fb98
resin,樹脂,#a0522d
resinous,樹脂性,#deb887
rhodinol,ロディノール,#ffb6c1
rhubarb,ルバーブ,#ff6347
rich,リッチ,#ffd700
ricotta,リコッタ,#fffacd
ripe,熟した,#ffa07a
ripe apricot,熟したアプリコット,#ffcc99
roast,ロースト,#cd853f
roast beef,ローストビーフ,#8b4513
roastbeef,ローストビーフ,#8b4513
roasted,焼かれた,#d2691e
roasted almonds,焼きアーモンド,#f5deb3
roasted in sugar syrup,シロップでロースト,#deb887
roasted meat,ローストミート,#a52a2a
roasted nut,焼きナッツ,#d2b48c
roasted nuts,焼きナッツ,#d2b48c
roasted peanut,焼きピーナッツ,#deb887
roasted peanuts,焼きピーナッツ,#deb887
roastedmeat,ローストした肉,#a52a2a
roastednut,焼きナッツ,#d2b48c
romano,ロマーノ,#ffe4c4
root,根,#8b4513
rootbeer,ルートビア,#6b4226
rooty,根のような,#deb887
roquefort cheese,ロックフォールチーズ,#fff8dc
rose,バラ,#ff69b4
rose acetate,ローズアセテート,#ffe4e1
rose bud,バラの蕾,#f08080
rose de mai,ローズドメイ,#ffb6c1
rose dried,乾燥したバラ,#ffa07a
rose flower,バラの花,#ff69b4
rose oxide,ローズオキシド,#ffcc99
rose petals,バラの花びら,#ffb6c1
rose water,バラ水,#f5f5f5
rosemary,ローズマリー,#6b8e23
rosy,バラのような,#ffb6c1
rotten,腐った,#808080
rotting,腐敗している,#696969
rubber,ゴム,#a9a9a9
rubbery,ゴムのような,#b0c4de
rue,ルー,#556b2f
rum,ラム,#8b4513
rummy,ラムのような,#cd853f
russian,ロシア風,#c0c0c0
rye,ライムギ,#d2b48c
saffron,サフラン,#ffd700
sage,セージ,#6b8e23
salicylate,サリチル酸,#e0ffff
salmon,サーモン,#fa8072
salt,塩,#ffffff
sandal,サンダル,#deb887
sandalwood,サンダルウッド,#a0522d
sandy,砂っぽい,#d3d3d3
sap,樹液,#f5deb3
sappy,樹液のような,#deb887
sarsaparilla,サルサパリラ,#d2691e
sassafrass,サッサフラス,#8b4513
sausage,ソーセージ,#ff6347
savory,風味の良い,#ffa07a
sawdust,鋸屑,#deb887
sawen,ソーエン,#cd853f
scallion,青ネギ,#98fb98
sea,海,#87ceeb
sea breeze,海風,#add8e6
seafood,シーフード,#ffdab9
seashell,貝殻,#f5f5f5
seashore,海岸,#87cefa
seaside,海辺,#4682b4
seaweed,海藻,#556b2f
seedy,種が多い,#808080
sensual,官能的,#ff69b4
sharp,鋭い,#ff4500
shellfish,貝類,#f5deb3
shrimp,エビ,#ff6347
sick,病気の,#696969
sickening,気分が悪くなるような,#808080
skunk,スカンク,#a9a9a9
skunky,スカンクのような,#b0c4de
slight,わずかな,#d3d3d3
slightly ethereal,わずかに空気のような,#e0ffff
slightly fruity,わずかにフルーティー,#ffa07a
slightly metallic,わずかに金属的,#c0c0c0
slightly roasted nut,わずかに焼きナッツ,#deb887
slightly rose,わずかにバラの香り,#ffb6c1
slightly waxy,わずかにワックス状,#f5deb3
smoke,煙,#696969
smoked,燻製の,#8b4513
smoky,煙っぽい,#a9a9a9
soap,石鹸,#f5f5f5
soapy,石鹸のような,#e0ffff
soft,柔らかい,#fff8dc
soil,土,#8b4513
solvent,溶剤,#d3d3d3
soup,スープ,#ffd700
soupy,スープ状,#ffa07a
sour,酸っぱい,#ffd700
soy,大豆,#d2b48c
soybean,大豆,#f5deb3
spearmint,スペアミント,#98fb98
spice,スパイス,#cd853f
spicy,辛い,#ff4500
spring,春,#87ceeb
stem,茎,#6b8e23
stinky,臭い,#808080
storax,ストラックス,#deb887
straw,藁,#f5deb3
strawberry,イチゴ,#ff0000
strong,強い,#ff4500
styrax,ストラックス,#deb887
styrene,スチレン,#d3d3d3
sugar,砂糖,#fffacd
sulfide,硫化物,#696969
sulfur,硫黄,#ffa500
sulfurous,硫黄のような,#deb887
sulfury,硫黄臭のある,#d2691e
sweat,汗,#f4a460
sweaty,汗臭い,#d2b48c
sweet,甘い,#ffd700
sweet corn,スイートコーン,#ffff99
syrup,シロップ,#ffcc00
taco,タコス,#f4a460
tagette,タゲット,#ffd700
tallow,牛脂,#deb887
tangerine,タンジェリン,#ffa07a
tangy,ピリッとした,#ff4500
tar,タール,#808080
tarragon,タラゴン,#556b2f
tarry,タールのような,#696969
tart,タルト,#ff8c00
tart lime,ライムの酸味,#32cd32
tartlime,ライムの酸味,#32cd32
tea,茶,#d2b48c
terpene,テルペン,#deb887
terpenic,テルペン性,#deb887
terpentine,テレピン油,#a0522d
terpineol,テルピネオール,#ffe4b5
thiamin,チアミン,#fffacd
thiamine,チアミン,#fffacd
thuja,ツヤ,#228b22
thujone,ツヨン,#228b22
thyme,タイム,#6b8e23
thymol,チモール,#ffe4c4
toasted,トーストされた,#deb887
tobacco,タバコ,#8b4513
tobacco-leaf,タバコの葉,#6b4226
toffee,トフィー,#d2691e
tolu,トル,#deb887
toluene,トルエン,#808080
tomato,トマト,#ff6347
tomato leaf,トマトの葉,#6b8e23
tomatoleaf,トマトの葉,#6b8e23
tonka,トンカ,#a0522d
tree,木,#8b4513
tropica,トロピカ,#ff8c00
